Date,Open,High,Low,Close
16/01/2020,6.175,6.18,6.16,6.17125
17/01/2020,6.1875,6.1875,6.1875,6.18375
20/01/2020,6.175,6.175,6.175,6.17875
21/01/2020,6.1625,6.175,6.16,6.18125
22/01/2020,6.2125,6.2425,6.2125,6.22125
23/01/2020,6.17875,6.17875,6.17875,6.17875
24/01/2020,6.2125,6.2175,6.195,6.19625
27/01/2020,6.1375,6.1549,6.1225,6.16625
28/01/2020,6.1675,6.17,6.1625,6.16625
29/01/2020,6.1625,6.1625,6.1389,6.15625
30/01/2020,6.095,6.1525,6.095,6.14625
31/01/2020,6.1875,6.1925,6.155,6.16
03/02/2020,6.13,6.1525,6.13,6.12625
04/02/2020,6.165,6.18,6.165,6.185
05/02/2020,6.17,6.1875,6.17,6.2
06/02/2020,6.225,6.2375,6.205,6.23625
07/02/2020,6.22,6.225,6.22,6.22875
10/02/2020,6.2325,6.2575,6.225,6.2575
11/02/2020,6.2325,6.2425,6.2325,6.23375
12/02/2020,6.2275,6.2275,6.22,6.23625
13/02/2020,6.2075,6.2225,6.2025,6.25375
14/02/2020,6.2525,6.27,6.2525,6.26625
17/02/2020,6.3275,6.3275,6.2975,6.29375
18/02/2020,6.275,6.2875,6.2675,6.24875
19/02/2020,6.2675,6.26889,6.26,6.27375
20/02/2020,6.22125,6.22125,6.22125,6.22125
21/02/2020,6.27,6.27,6.27,6.27375
24/02/2020,6.2575,6.2575,6.1775,6.1775
25/02/2020,6.1175,6.15,6.1075,6.11125
26/02/2020,6.015,6.085,6.015,6.08
27/02/2020,5.9425,5.9525,5.94,5.88625
28/02/2020,5.67,5.71,5.4475,5.54625
02/03/2020,5.705,5.8225,5.5725,5.8225
03/03/2020,5.94,6.0175,5.9175,5.87
04/03/2020,5.89,5.965,5.8875,5.9675
05/03/2020,6.05,6.085,6.01,6.09375
06/03/2020,5.975,5.9775,5.87,5.92875
09/03/2020,5.6825,5.84,5.665,5.81625
10/03/2020,5.8125,5.91,5.8125,5.67
11/03/2020,5.7675,5.8025,5.67,5.64125
12/03/2020,5.21,5.21,5.1325,5.17625
13/03/2020,5.255,5.3075,5.195,5.18125
16/03/2020,5.035,5.19239,5.015,5.325
17/03/2020,5.4675,5.4675,5.2475,5.43875
18/03/2020,5.4375,5.535,5.22278,5.33875
19/03/2020,5.3525,5.425,5.3125,5.26625
20/03/2020,5.09,5.155,5.0525,5.03875
23/03/2020,4.791,4.87,4.725,4.7895
24/03/2020,4.995,4.995,4.869,4.975
25/03/2020,5.1525,5.1525,4.944,5.0005
26/03/2020,5.1075,5.14,5.1075,5.1325
27/03/2020,5.155,5.2654,5.145,5.205
30/03/2020,5.3,5.33,5.15,5.345
31/03/2020,5.43,5.4525,5.155,5.4125
01/04/2020,5.295,5.295,5.1425,5.26625
02/04/2020,5.3,5.3025,5.275,5.26375
03/04/2020,5.34,5.34,5.34,5.34
06/04/2020,5.5,5.5725,5.4675,5.5425
07/04/2020,5.685,5.7375,5.68,5.7075
08/04/2020,5.575,5.575,5.53,5.595
09/04/2020,5.6,5.7,5.5975,5.70875
14/04/2020,5.7075,5.7325,5.66,5.77875
15/04/2020,5.8125,5.8275,5.7675,5.75
16/04/2020,5.76,5.8075,5.7575,5.7725
17/04/2020,5.9275,5.9275,5.815,5.81375
20/04/2020,6.0275,6.0275,5.845,5.86625
21/04/2020,5.7175,5.7475,5.665,5.65375
22/04/2020,5.695,5.72,5.6825,5.68875
23/04/2020,5.855,5.855,5.7,5.7175
24/04/2020,5.665,5.6925,5.6625,5.68
27/04/2020,5.8625,5.8625,5.73,5.73125
28/04/2020,5.8,5.8,5.8,5.8
29/04/2020,5.7925,5.7925,5.733,5.73625
30/04/2020,5.755,5.755,5.6575,5.69875
01/05/2020,5.6275,5.6425,5.62,5.66
04/05/2020,5.585,5.6,5.5675,5.5825
05/05/2020,5.63,5.6425,5.6225,5.635
06/05/2020,5.75,5.75,5.585,5.585
07/05/2020,5.59,5.5925,5.545,5.565
11/05/2020,5.625,5.68,5.625,5.6525
12/05/2020,5.585,5.6825,5.585,5.68
13/05/2020,5.5875,5.6175,5.575,5.5825
14/05/2020,5.5275,5.5475,5.4575,5.4575
15/05/2020,5.535,5.5825,5.53469,5.5425
18/05/2020,5.6275,5.6625,5.625,5.6625
19/05/2020,5.6575,5.68,5.6275,5.635
20/05/2020,5.6175,5.63,5.6,5.6225
21/05/2020,5.6,5.6,5.5725,5.5725
22/05/2020,5.5425,5.595,5.53,5.58
26/05/2020,5.66,5.6825,5.6475,5.6475
27/05/2020,5.66,5.68,5.6425,5.6575
28/05/2020,5.725,5.78,5.7175,5.765
29/05/2020,5.7525,5.7525,5.686,5.705
01/06/2020,5.81,5.81,5.7575,5.78875
02/06/2020,5.805,5.81,5.7825,5.77875
03/06/2020,5.8175,5.835,5.8175,5.8275
04/06/2020,5.7875,5.8375,5.7875,5.8175
05/06/2020,5.8425,5.8825,5.8425,5.8875
08/06/2020,5.89,5.9025,5.8875,5.90125
09/06/2020,5.9,5.905,5.8525,5.89
10/06/2020,5.855,5.895,5.855,5.895
11/06/2020,5.81,5.8175,5.77,5.78
12/06/2020,5.7125,5.7125,5.6375,5.64875
15/06/2020,5.5025,5.81077,5.81077,5.61875
16/06/2020,5.7425,5.8357,5.7425,5.77875
17/06/2020,5.825,5.825,5.8225,5.79875
18/06/2020,5.78,5.8025,5.7775,5.79125
19/06/2020,5.835,5.885,5.835,5.85625
22/06/2020,5.7675,5.78,5.7675,5.76
23/06/2020,5.8175,5.82,5.8,5.81625
24/06/2020,5.7025,5.715,5.7025,5.6725
25/06/2020,5.6525,5.6525,5.6525,5.66375
26/06/2020,5.6925,5.7,5.6925,5.65125
29/06/2020,5.6125,5.6725,5.6125,5.7
30/06/2020,5.68,5.73,5.68,5.72625
01/07/2020,5.7525,5.7525,5.7525,5.73375
02/07/2020,5.77,5.7975,5.7625,5.7925
03/07/2020,5.7525,5.76,5.74697,5.74625
06/07/2020,5.8125,5.82,5.7875,5.7875
07/07/2020,5.7625,5.7975,5.7625,5.7975
08/07/2020,5.87,5.88,5.84,5.83125
09/07/2020,5.8425,5.8475,5.8425,5.77875
10/07/2020,5.7825,5.86,5.7825,5.86375
13/07/2020,5.9,5.97,5.9,5.9725
14/07/2020,5.9175,5.96,5.9,5.95125
15/07/2020,6.045,6.06,6.02,6.05625
16/07/2020,5.9675,6.02,5.9675,6.00375
17/07/2020,6.0275,6.0275,6.0275,6.0275
20/07/2020,6.0125,6.0125,5.9625,5.96625
21/07/2020,5.995,6.085,5.98,6.07
22/07/2020,6.0225,6.035,5.99604,6.02625
23/07/2020,6.0925,6.095,6.0925,6.09875
24/07/2020,6.08,6.08,6.08,6.08
27/07/2020,6.075,6.0975,6.075,6.0925
28/07/2020,6.125,6.1625,6.125,6.13875
29/07/2020,6.1475,6.1475,6.1475,6.15
30/07/2020,6.085,6.1125,6.085,6.11375
31/07/2020,6.1275,6.1325,6.0875,6.0875
03/08/2020,6.11,6.11,6.11,6.12125
04/08/2020,6.1375,6.1375,6.1275,6.1825
05/08/2020,6.2375,6.2375,6.1875,6.18875
06/08/2020,6.2225,6.2225,6.1925,6.17
07/08/2020,6.1925,6.195,6.1925,6.18375
10/08/2020,6.2325,6.2325,6.2325,6.23375
11/08/2020,6.2725,6.2725,6.2575,6.23875
12/08/2020,6.2425,6.28,6.24,6.2825
13/08/2020,6.295,6.295,6.28,6.3
14/08/2020,6.28,6.3,6.2675,6.295
17/08/2020,6.3,6.3275,6.29156,6.33375
18/08/2020,6.345,6.35,6.3125,6.32375
19/08/2020,6.33,6.33,6.33,6.32375
20/08/2020,6.2625,6.2625,6.255,6.26875
21/08/2020,6.27,6.2825,6.255,6.26875
24/08/2020,6.2875,6.3225,6.2825,6.33375
25/08/2020,6.36,6.375,6.3325,6.3225
26/08/2020,6.315,6.335,6.29,6.29875
27/08/2020,6.36,6.36,6.3325,6.39125
28/08/2020,6.4225,6.4225,6.3725,6.38875
01/09/2020,6.4425,6.445,6.405,6.42125
02/09/2020,6.455,6.515,6.455,6.5125
03/09/2020,6.535,6.605,6.4625,6.485
04/09/2020,6.46,6.4775,6.3525,6.3675
07/09/2020,6.44,6.465,6.4225,6.45875
08/09/2020,6.5175,6.5175,6.395,6.3025
09/09/2020,6.31,6.39,6.31,6.39125
10/09/2020,6.3575,6.3825,6.3575,6.37625
11/09/2020,6.325,6.3475,6.325,6.34375
14/09/2020,6.375,6.39,6.3525,6.38125
15/09/2020,6.3825,6.405,6.3825,6.40625
16/09/2020,6.3825,6.3975,6.3825,6.40625
17/09/2020,6.27,6.3275,6.27,6.31375
18/09/2020,6.2975,6.3275,6.27,6.2725
21/09/2020,6.225,6.225,6.16773,6.15125
22/09/2020,6.2,6.23,6.1825,6.225
23/09/2020,6.285,6.285,6.24,6.21375
24/09/2020,6.1625,6.1625,6.1425,6.14625
25/09/2020,6.1875,6.1875,6.1425,6.17
28/09/2020,6.1875,6.305,6.1875,6.3025
29/09/2020,6.295,6.3075,6.255,6.255
30/09/2020,6.2525,6.3075,6.23,6.32625
01/10/2020,6.3525,6.365,6.3075,6.35125
02/10/2020,6.3025,6.3325,6.2825,6.31125
05/10/2020,6.3625,6.3625,6.33,6.35125
06/10/2020,6.3575,6.38,6.3525,6.3875
07/10/2020,6.3575,6.3775,6.3575,6.38375
08/10/2020,6.4125,6.44,6.405,6.43375
09/10/2020,6.46,6.4775,6.4275,6.4875
12/10/2020,6.4975,6.585,6.4875,6.58375
13/10/2020,6.555,6.555,6.53,6.55375
14/10/2020,6.575,6.575,6.5575,6.545
15/10/2020,6.5325,6.5325,6.5125,6.51375
